Customer_ID,Planted_Risk
CUST00165,Low
CUST00166,Low
CUST00167,Low
CUST00168,Low
CUST00169,Low
CUST00170,Low
CUST00171,Low
CUST00172,Low
CUST00173,Medium
CUST00174,Low
CUST00175,Low
CUST00176,Low
CUST00177,Low
CUST00178,Low
CUST00179,Low
CUST00180,Low
CUST00181,Low
CUST00182,Low
CUST00183,Low
CUST00184,Low
CUST00185,Low
CUST00186,High
CUST00187,Low
CUST00188,Low
CUST00189,Low
CUST00190,Low
CUST00191,Low
CUST00192,Low
CUST00193,Low
CUST00194,Low
CUST00195,Low
CUST00196,Low
CUST00197,Low
CUST00198,Low
CUST00199,Low
CUST00200,Low
CUST00201,Low
CUST00202,Low
CUST00203,Low
CUST00204,Low
CUST00205,Low
CUST00206,Low
CUST00207,Low
CUST00208,Low
CUST00209,Low
CUST00210,Low
CUST00211,Medium
CUST00212,High
CUST00213,Low
CUST00214,Low
CUST00215,Low
CUST00216,Low
CUST00217,Low
CUST00218,Low
CUST00219,Low
CUST00220,Low
CUST00221,Low
CUST00222,Low
CUST00223,Low
CUST00224,Low
CUST00225,Low
CUST00226,Low
CUST00227,Medium
CUST00228,Low
CUST00229,Low
CUST00230,Low
CUST00231,Low
CUST00232,Low
CUST00233,Low
CUST00234,Low
CUST00235,Medium
CUST00236,Low
CUST00237,Low
CUST00238,Low
CUST00239,Low
CUST00240,Low
CUST00241,Low
CUST00242,Low
CUST00243,Low
CUST00244,High
CUST00245,Low
CUST00246,Low
CUST00247,Low
CUST00248,Low
CUST00249,Low
CUST00250,Low
CUST00251,Low
CUST00252,Low
CUST00253,Low
CUST00254,Low
CUST00255,Low
CUST00256,Low
CUST00257,Low
CUST00258,Low
CUST00259,Low
CUST00260,High
CUST00261,Low
CUST00262,Low
CUST00263,Low
CUST00264,Low
CUST00265,Low
CUST00266,Low
CUST00267,Low
CUST00268,Low
CUST00269,Low
CUST00270,Low
CUST00271,Low
CUST00272,Low
CUST00273,High
CUST00274,Low
CUST00275,Low
CUST00276,Low
CUST00277,Low
CUST00278,High
CUST00279,Low
CUST00280,Low
CUST00281,Low
CUST00282,Low
CUST00283,Low
CUST00284,High
CUST00285,Low
CUST00286,Low
CUST00287,Low
CUST00288,Low
CUST00289,Low
CUST00290,Low
CUST00291,Low
CUST00292,Low
CUST00293,Low
CUST00294,Low
CUST00295,Low
CUST00296,Medium
CUST00297,Low
CUST00298,Low
CUST00299,Low
CUST00300,Low
CUST00301,Low
CUST00302,Low
CUST00303,Low
CUST00304,Low
CUST00305,Low
CUST00306,Low
CUST00307,Low
CUST00308,Low
CUST00309,Low
CUST00310,Low
CUST00311,Medium
CUST00312,Low
CUST00313,Low
CUST00314,Low
CUST00315,Low
CUST00316,Low
CUST00317,Low
CUST00318,Low
CUST00319,Low
CUST00320,Low
CUST00321,Low
CUST00322,Low
CUST00323,Low
CUST00324,Low
CUST00325,Low
CUST00326,Low
CUST00327,Medium
CUST00328,Low
CUST00329,Low
CUST00330,High
CUST00331,Low
CUST00332,Low
CUST00333,Low
CUST00334,Low
CUST00335,Low
CUST00336,Low
CUST00337,Low
CUST00338,Low
CUST00339,Low
CUST00340,Medium
CUST00341,Low
CUST00342,Low
CUST00343,Low
CUST00344,Low
CUST00345,Medium
CUST00346,Low
CUST00347,Low
CUST00348,Low
CUST00349,Low
CUST00350,Low
CUST00351,Low
CUST00352,Low
CUST00353,Low
CUST00354,Low
CUST00355,Low
CUST00356,Low
CUST00357,Low
CUST00358,Low
CUST00359,Low
CUST00360,Low
CUST00361,Low
CUST00362,Low
CUST00363,Low
CUST00364,Low
CUST00365,High
CUST00366,Low
CUST00367,Low
CUST00368,Low
CUST00369,Low
CUST00370,Low
CUST00371,Low
CUST00372,Low
CUST00373,Low
CUST00374,Low
CUST00375,Low
CUST00376,Low
CUST00377,High
CUST00378,Low
CUST00379,Low
CUST00380,High
CUST00381,Low
CUST00382,Low
CUST00383,Low
CUST00384,Low
CUST00385,Low
CUST00386,Low
CUST00387,Low
CUST00388,High
CUST00389,Low
CUST00390,Low
CUST00391,Medium
CUST00392,Low
CUST00393,Low
CUST00394,Low
CUST00395,Low
CUST00396,Low
CUST00397,Low
CUST00398,Low
CUST00399,Low
CUST00400,Medium
CUST00401,Low
CUST00402,Low
CUST00403,Low
CUST00404,Medium
CUST00405,Medium
CUST00406,Low
CUST00407,Low
CUST00408,Low
CUST00409,Low
CUST00410,Low
CUST00411,Low
CUST00412,Low
CUST00413,Low
CUST00414,Low
CUST00415,Low
CUST00416,Low
CUST00417,Low
CUST00418,Low
CUST00419,Low
CUST00420,Low
CUST00421,Medium
CUST00422,Low
CUST00423,Low
CUST00424,Medium
CUST00425,Low
CUST00426,Low
CUST00427,Low
CUST00428,Low
CUST00429,Low
CUST00430,Low
CUST00431,Low
CUST00432,Low
CUST00433,Low
CUST00434,Low
CUST00435,Medium
CUST00436,High
CUST00437,Low
CUST00438,Low
CUST00439,Low
CUST00440,Low
CUST00441,Low
CUST00442,Low
CUST00443,Low
CUST00444,Medium
CUST00445,Low
CUST00446,Low
CUST00447,High
CUST00448,Low
CUST00449,Low
CUST00450,Low
CUST00451,Low
CUST00452,Low
CUST00453,Low
CUST00454,Medium
CUST00455,Medium
CUST00456,Low
CUST00457,Low
CUST00458,Medium
CUST00459,Low
CUST00460,Low
CUST00461,Low
CUST00462,Low
CUST00463,Low
CUST00464,Low
CUST00465,Low
CUST00466,Low
CUST00467,Medium
CUST00468,Low
CUST00469,Low
CUST00470,Low
CUST00471,Medium
CUST00472,Low
CUST00473,Low
CUST00474,Low
CUST00475,Low
CUST00476,Low
CUST00477,Low
CUST00478,High
CUST00479,Low
CUST00480,Low
CUST00481,Low
CUST00482,Low
CUST00483,Low
CUST00484,Low
CUST00485,Low
CUST00486,Low
CUST00487,High
CUST00488,Low
CUST00489,Low
CUST00490,Low
CUST00491,Low
CUST00492,Low
CUST00493,Low
CUST00494,Low
CUST00495,Low
CUST00496,Low
CUST00497,Low
CUST00498,Low
CUST00499,Low
CUST00500,High
CUST00501,Low
CUST00502,Low
CUST00503,Low
CUST00504,Low
CUST00505,Low
CUST00506,Low
CUST00507,Low
CUST00508,Low
CUST00509,Low
CUST00510,Low
CUST00511,Medium
CUST00512,Low
CUST00513,Medium
CUST00514,Low
CUST00515,Low
CUST00516,Medium
CUST00517,Medium
CUST00518,Low
CUST00519,Low
CUST00520,Low
CUST00521,Low
CUST00522,Low
CUST00523,Low
CUST00524,Low
CUST00525,Low
CUST00526,Low
CUST00527,Low
CUST00528,Low
CUST00529,Low
CUST00530,Low
CUST00531,Low
CUST00532,Low
CUST00533,Low
CUST00534,Low
CUST00535,Low
CUST00536,Low
CUST00537,Low
CUST00538,Low
CUST00539,Low
CUST00540,Low
CUST00541,Low
CUST00542,Low
CUST00543,Low
CUST00544,Low
CUST00545,Low
CUST00546,High
CUST00547,Low
CUST00548,Low
CUST00549,Low
CUST00550,Low
CUST00551,Low
CUST00552,Low
CUST00553,Low
CUST00554,Low
CUST00555,Low
CUST00556,Low
CUST00557,Low
CUST00558,Low
CUST00559,Low
CUST00560,Low
CUST00561,Low
CUST00562,Low
CUST00563,Low
CUST00564,Low
CUST00565,Low
CUST00566,Low
CUST00567,Low
CUST00568,Low
CUST00569,Low
CUST00570,Low
CUST00571,Low
CUST00572,Low
CUST00573,Medium
CUST00574,Low
CUST00575,Low
CUST00576,Low
CUST00577,Low
CUST00578,High
CUST00579,Low
CUST00580,Low
CUST00581,Low
CUST00582,Low
CUST00583,Low
CUST00584,Low
CUST00585,Low
CUST00586,Low
CUST00587,Low
CUST00588,Low
CUST00589,Low
CUST00590,Low
CUST00591,Low
CUST00592,Low
CUST00593,Low
CUST00594,Low
CUST00595,Low
CUST00596,Low
CUST00597,Low
CUST00598,Medium
CUST00599,Low
CUST00600,Low
CUST00601,Medium
CUST00602,Low
CUST00603,Low
CUST00604,Low
CUST00605,Low
CUST00606,Low
CUST00607,Low
CUST00608,Low
CUST00609,Low
CUST00610,Low
CUST00611,Low
CUST00612,Low
CUST00613,Medium
CUST00614,Low
CUST00615,Low
CUST00616,Medium
CUST00617,High
CUST00618,Low
CUST00619,Low
CUST00620,Low
CUST00621,Low
CUST00622,Low
CUST00623,Medium
CUST00624,Low
CUST00625,Medium
CUST00626,Medium
CUST00627,Low
CUST00628,Low
CUST00629,Low
CUST00630,Low
CUST00631,Low
CUST00632,Low
CUST00633,Medium
CUST00634,Low
CUST00635,Low
CUST00636,Low
CUST00637,Low
CUST00638,Medium
CUST00639,Low
CUST00640,Low
CUST00641,Low
CUST00642,Low
CUST00643,Low
CUST00644,Low
CUST00645,Low
CUST00646,Low
CUST00647,Low
CUST00648,Low
CUST00649,Low
CUST00650,Low
CUST00651,Low
CUST00652,Low
CUST00653,Low
CUST00654,Low
CUST00655,Low
CUST00656,Low
CUST00657,Low
CUST00658,Low
CUST00659,Low
CUST00660,Low
CUST00661,Low
CUST00662,Low
CUST00663,Low
CUST00664,High
CUST00665,Low
CUST00666,Low
CUST00667,Low
CUST00668,Medium
CUST00669,Low
CUST00670,Low
CUST00671,Low
CUST00672,Low
CUST00673,Low
CUST00674,Low
CUST00675,Low
CUST00676,Low
CUST00677,Low
CUST00678,Low
CUST00679,Low
CUST00680,Low
CUST00681,High
CUST00682,Medium
CUST00683,Low
CUST00684,Low
CUST00685,Low
CUST00686,Low
CUST00687,Low
CUST00688,Low
CUST00689,Low
CUST00690,Low
CUST00691,Low
CUST00692,Low
CUST00693,Low
CUST00694,Low
CUST00695,High
CUST00696,Low
CUST00697,Low
CUST00698,Low
CUST00699,Low
CUST00700,Low
CUST00701,Low
CUST00702,Low
CUST00703,Low
CUST00704,Low
CUST00705,Low
CUST00706,Low
CUST00707,Low
CUST00708,Low
CUST00709,Low
CUST00710,Low
CUST00711,High
CUST00712,Low
CUST00713,Low
CUST00714,High
CUST00715,Low
CUST00716,Low
CUST00717,Low
CUST00718,Low
CUST00719,Low
CUST00720,Low
CUST00721,Low
CUST00722,Low
CUST00723,Low
CUST00724,Low
CUST00725,Low
CUST00726,Low
CUST00727,Low
CUST00728,Low
CUST00729,Medium
CUST00730,Low
CUST00731,Low
CUST00732,Low
CUST00733,Low
CUST00734,Low
CUST00735,Low
CUST00736,Low
CUST00737,Low
CUST00738,Low
CUST00739,Medium
CUST00740,Low
CUST00741,High
CUST00742,Low
CUST00743,Low
CUST00744,Low
CUST00745,Low
CUST00746,Low
CUST00747,Low
CUST00748,Low
CUST00749,Low
CUST00750,Low
CUST00751,Low
CUST00752,Low
CUST00753,Low
CUST00754,Low
CUST00755,Low
CUST00756,Low
CUST00757,Low
CUST00758,Low
CUST00759,Low
CUST00760,Low
CUST00761,Low
CUST00762,Low
CUST00763,Low
CUST00764,Low
CUST00765,High
CUST00766,Low
CUST00767,Low
CUST00768,Low
CUST00769,Low
CUST00770,Low
CUST00771,Low
CUST00772,Low
CUST00773,Low
CUST00774,Low
CUST00775,Medium
CUST00776,Low
CUST00777,Low
CUST00778,Low
CUST00779,Low
CUST00780,Low
CUST00781,Low
CUST00782,Low
CUST00783,Low
CUST00784,Low
CUST00785,Low
CUST00786,Low
CUST00787,Low
CUST00788,Low
CUST00789,Low
CUST00790,High
CUST00791,Low
CUST00792,Low
CUST00793,Low
CUST00794,Low
CUST00795,Medium
CUST00796,Medium
CUST00797,Low
CUST00798,Low
CUST00799,Low
CUST00800,Low
CUST00801,Medium
CUST00802,Low
CUST00803,Low
CUST00804,Low
CUST00805,Low
CUST00806,Low
CUST00807,Low
CUST00808,Low
CUST00809,Low
CUST00810,Low
CUST00811,Low
CUST00812,Low
CUST00813,Low
CUST00814,Low
CUST00815,Low
CUST00816,Low
CUST00817,Low
CUST00818,Low
CUST00819,Low
CUST00820,Low
CUST00821,Low
CUST00822,Low
CUST00823,Medium
CUST00824,Low
CUST00825,Low
CUST00826,Low
CUST00827,Low
CUST00828,Low
CUST00829,Low
CUST00830,Low
CUST00831,Low
CUST00832,Medium
CUST00833,Low
CUST00834,Medium
CUST00835,Low
CUST00836,Low
CUST00837,Low
CUST00838,Low
CUST00839,Medium
CUST00840,Low
CUST00841,Low
CUST00842,Medium
CUST00843,Medium
CUST00844,Low
CUST00845,Low
CUST00846,Low
CUST00847,Low
CUST00848,Low
CUST00849,Low
CUST00850,Medium
CUST00851,Low
CUST00852,Low
CUST00853,Low
CUST00854,Low
CUST00855,Low
CUST00856,Low
CUST00857,Low
CUST00858,Low
CUST00859,Low
CUST00860,Low
CUST00861,Low
CUST00862,Low
CUST00863,Low
CUST00864,Low
CUST00865,Low
CUST00866,Low
CUST00867,Low
CUST00868,Low
CUST00869,Low
CUST00870,Low
CUST00871,Low
CUST00872,Low
CUST00873,Medium
CUST00874,Low
CUST00875,Medium
CUST00876,Low
CUST00877,Low
CUST00878,High
CUST00879,Low
CUST00880,Low
CUST00881,Low
CUST00882,Low
CUST00883,Low
CUST00884,Low
CUST00885,Low
CUST00886,Low
CUST00887,Low
CUST00888,Low
CUST00889,Low
CUST00890,Low
CUST00891,Low
CUST00892,Low
CUST00893,Low
CUST00894,Low
CUST00895,Low
CUST00896,Low
CUST00897,Low
CUST00898,Low
CUST00899,Low
CUST00900,Medium
CUST00901,Low
CUST00902,Low
CUST00903,Low
CUST00904,Low
CUST00905,Low
CUST00906,Low
CUST00907,Low
CUST00908,Low
CUST00909,Medium
CUST00910,Medium
CUST00911,Low
CUST00912,Low
CUST00913,Low
CUST00914,Low
CUST00915,Medium
CUST00916,Low
CUST00917,Low
CUST00918,Medium
CUST00919,Low
CUST00920,Medium
CUST00921,Low
CUST00922,Low
CUST00923,Low
CUST00924,Low
CUST00925,Low
CUST00926,Low
CUST00927,Low
CUST00928,Low
CUST00929,Low
CUST00930,Low
CUST00931,Low
CUST00932,Low
CUST00933,Low
CUST00934,Medium
CUST00935,Low
CUST00936,Low
CUST00937,Medium
CUST00938,Low
CUST00939,Low
CUST00940,Low
CUST00941,Low
CUST00942,Low
CUST00943,Low
CUST00944,Low
CUST00945,Low
CUST00946,High
CUST00947,Low
CUST00948,Low
CUST00949,High
CUST00950,High
CUST00951,Low
CUST00952,High
CUST00953,Low
CUST00954,Medium
CUST00955,Medium
CUST00956,Low
CUST00957,Low
CUST00958,Low
CUST00959,Low
CUST00960,High
CUST00961,Low
CUST00962,Medium
CUST00963,Low
CUST00964,Low
CUST00965,Low
CUST00966,Low
CUST00967,Low
CUST00968,Low
CUST00969,Low
CUST00970,Low
CUST00971,High
CUST00972,Low
CUST00973,Low
CUST00974,High
CUST00975,Low
CUST00976,Low
CUST00977,Low
CUST00978,Low
CUST00979,Low
CUST00980,Low
CUST00981,Low
CUST00982,Low
CUST00983,Low
CUST00984,Medium
CUST00985,Low
CUST00986,Low
CUST00987,Low
CUST00988,Low
CUST00989,Low
CUST00990,Low
CUST00991,Low
CUST00992,Low
CUST00993,Low
CUST00994,Low
CUST00995,Low
CUST00996,Low
CUST00997,Low
CUST00998,Low
CUST00999,High
CUST01000,Low
CUST01001,Low
CUST01002,Low
CUST01003,Medium
CUST01004,Low
CUST01005,Low
CUST01006,Low
CUST01007,Low
CUST01008,Low
CUST01009,Low
CUST01010,Low
CUST01011,Low
CUST01012,Low
CUST01013,Low
CUST01014,Low
CUST01015,Low
CUST01016,Low
CUST01017,Low
CUST01018,Low
CUST01019,Low
CUST01020,Low
CUST01021,Low
CUST01022,Low
CUST01023,Low
CUST01024,Low
CUST01025,Low
CUST01026,Low
CUST01027,Low
CUST01028,Low
CUST01029,Low
CUST01030,Low
CUST01031,Low
CUST01032,Low
CUST01033,Low
CUST01034,Low
CUST01035,Low
CUST01036,Low
CUST01037,Low
CUST01038,Low
CUST01039,Low
CUST01040,Low
CUST01041,Low
CUST01042,Low
CUST01043,Low
CUST01044,Low
CUST01045,Low
CUST01046,Low
CUST01047,Low
CUST01048,Low
CUST01049,Low
CUST01050,Low
CUST01051,Low
CUST01052,Low
CUST01053,Low
CUST01054,Low
CUST01055,Low
CUST01056,Low
CUST01057,Low
CUST01058,Low
CUST01059,Low
CUST01060,Low
CUST01061,Medium
CUST01062,Low
CUST01063,Low
CUST01064,Low
CUST01065,Low
CUST01066,Low
CUST01067,Low
CUST01068,Medium
CUST01069,Low
CUST01070,Low
CUST01071,Low
CUST01072,Low
CUST01073,Low
CUST01074,Low
CUST01075,Low
CUST01076,Low
CUST01077,Medium
CUST01078,Low
CUST01079,Low
CUST01080,Low
CUST01081,Low
CUST01082,Medium
CUST01083,Low
CUST01084,Low
CUST01085,Low
CUST01086,Low
CUST01087,Low
CUST01088,Low
CUST01089,Low
CUST01090,Low
CUST01091,Low
CUST01092,Medium
CUST01093,Low
CUST01094,Low
CUST01095,Low
CUST01096,Low
CUST01097,Low
CUST01098,Low
CUST01099,Low
CUST01100,Low
CUST01101,Medium
CUST01102,Low
CUST01103,Low
CUST01104,Low
CUST01105,Low
CUST01106,Low
CUST01107,Low
CUST01108,Low
CUST01109,Low
CUST01110,Low
CUST01111,Medium
CUST01112,Low
CUST01113,Medium
CUST01114,Low
CUST01115,High
CUST01116,Low
CUST01117,Low
CUST01118,Low
CUST01119,Low
CUST01120,Low
CUST01121,Low
CUST01122,Low
CUST01123,Low
CUST01124,Low
CUST01125,Low
CUST01126,Low
CUST01127,High
CUST01128,Medium
CUST01129,Low
CUST01130,Low
CUST01131,Medium
CUST01132,Low
CUST01133,Low
CUST01134,Low
CUST01135,Low
CUST01136,Low
CUST01137,Low
CUST01138,Low
CUST01139,Low
CUST01140,Low
CUST01141,Low
CUST01142,Low
CUST01143,Low
CUST01144,Low
CUST01145,Low
CUST01146,Low
CUST01147,Low
CUST01148,Low
CUST01149,High
CUST01150,Low
CUST01151,Medium
CUST01152,Low
CUST01153,Low
CUST01154,High
CUST01155,Low
CUST01156,Low
CUST01157,Low
CUST01158,Low
CUST01159,Low
CUST01160,Low
CUST01161,Low
CUST01162,Low
CUST01163,Low
CUST01164,Low
CUST01165,Low
CUST01166,Low
CUST01167,Low
CUST01168,Low
CUST01169,Medium
CUST01170,Low
CUST01171,Medium
CUST01172,Low
CUST01173,Low
CUST01174,Low
CUST01175,Low
CUST01176,Low
CUST01177,Medium
CUST01178,Low
CUST01179,Low
CUST01180,Low
CUST01181,High
CUST01182,Low
CUST01183,Low
CUST01184,Medium
CUST01185,Low
CUST01186,Low
CUST01187,Low
CUST01188,Low
CUST01189,Low
CUST01190,High
CUST01191,Low
CUST01192,Low
CUST01193,Low
CUST01194,Low
CUST01195,Low
CUST01196,Low
CUST01197,Medium
CUST01198,Low
CUST01199,Low
CUST01200,Low
CUST01201,Low
CUST01202,Low
CUST01203,Low
CUST01204,Low
CUST01205,Low
CUST01206,Low
CUST01207,Low
CUST01208,Low
CUST01209,Low
CUST01210,Low
CUST01211,Low
CUST01212,Low
CUST01213,Low
CUST01214,Low
CUST01215,Low
CUST01216,Low
CUST01217,Low
CUST01218,Low
CUST01219,Low
CUST01220,Low
CUST01221,Low
CUST01222,Low
CUST01223,Low
CUST01224,Medium
CUST01225,Low
CUST01226,Low
CUST01227,Low
CUST01228,Low
CUST01229,Low
CUST01230,Low
CUST01231,Low
CUST01232,Low
CUST01233,Low
CUST01234,Low
CUST01235,Low
CUST01236,Low
CUST01237,High
CUST01238,Low
CUST01239,Low
CUST01240,Low
CUST01241,Low
CUST01242,Low
CUST01243,Low
CUST01244,Low
CUST01245,Low
CUST01246,Medium
CUST01247,Low
CUST01248,Low
CUST01249,Low
CUST01250,Low
CUST01251,Low
CUST01252,Low
CUST01253,Low
CUST01254,Low
CUST01255,Low
CUST01256,Medium
CUST01257,Low
CUST01258,Low
CUST01259,Low
CUST01260,Low
CUST01261,Low
CUST01262,Low
CUST01263,Low
CUST01264,Low
CUST01265,Low
CUST01266,Low
CUST01267,Low
CUST01268,Low
CUST01269,Low
CUST01270,Low
CUST01271,Low
CUST01272,Low
CUST01273,Low
CUST01274,Low
CUST01275,Low
CUST01276,Low
CUST01277,Low
CUST01278,Low
CUST01279,Low
CUST01280,Low
CUST01281,Low
CUST01282,Low
CUST01283,Low
CUST01284,Low
CUST01285,Low
CUST01286,Medium
CUST01287,Medium
CUST01288,Low
CUST01289,Low
CUST01290,Low
CUST01291,Low
CUST01292,Low
CUST01293,Low
CUST01294,Low
CUST01295,Low
CUST01296,Low
CUST01297,Low
CUST01298,Low
CUST01299,Low
CUST01300,Low
CUST01301,Low
CUST01302,Medium
CUST01303,Low
CUST01304,Low
CUST01305,Low
CUST01306,Low
CUST01307,Low
CUST01308,Low
CUST01309,Low
CUST01310,Low
CUST01311,Low
CUST01312,Low
CUST01313,Low
CUST01314,Low
CUST01315,Low
CUST01316,Low
CUST01317,Low
CUST01318,Low
CUST01319,Low
CUST01320,Low
CUST01321,Low
CUST01322,Low
CUST01323,Low
CUST01324,Low
CUST01325,Low
CUST01326,Low
CUST01327,Low
CUST01328,Low
CUST01329,Low
CUST01330,Medium
CUST01331,Low
CUST01332,Low
CUST01333,Low
CUST01334,Low
CUST01335,Low
CUST01336,Low
CUST01337,Low
CUST01338,Low
CUST01339,Low
CUST01340,Low
CUST01341,Low
CUST01342,Low
CUST01343,Low
CUST01344,Low
CUST01345,Low
CUST01346,Low
CUST01347,Low
CUST01348,Low
CUST01349,Low
CUST01350,Low
CUST01351,Low
CUST01352,Low
CUST01353,Low
CUST01354,Low
CUST01355,Low
CUST01356,Low
CUST01357,Low
CUST01358,Low
CUST01359,Low
CUST01360,Low
CUST01361,Low
CUST01362,Low
CUST01363,Low
CUST01364,Low
CUST01365,Low
CUST01366,Low
CUST01367,Low
CUST01368,Low
CUST01369,Low
CUST01370,Low
CUST01371,Low
CUST01372,Low
CUST01373,Low
CUST01374,Low
CUST01375,Low
CUST01376,Low
CUST01377,Low
CUST01378,Low
CUST01379,Low
CUST01380,Low
CUST01381,Low
CUST01382,Low
CUST01383,High
CUST01384,Low
CUST01385,Low
CUST01386,Low
CUST01387,Low
CUST01388,Low
CUST01389,Low
CUST01390,Low
CUST01391,Low
CUST01392,Low
CUST01393,Low
CUST01394,Low
CUST01395,Low
CUST01396,Low
CUST01397,Low
CUST01398,Low
CUST01399,Low
CUST01400,Low
CUST01401,Low
CUST01402,Low
CUST01403,Low
CUST01404,Low
CUST01405,Low
CUST01406,Low
CUST01407,Medium
CUST01408,Low
CUST01409,Low
CUST01410,Low
CUST01411,Low
CUST01412,Low
CUST01413,Low
CUST01414,Low
CUST01415,Low
CUST01416,Low
CUST01417,High
CUST01418,Low
CUST01419,Medium
CUST01420,Medium
CUST01421,Low
CUST01422,Low
CUST01423,Low
CUST01424,Low
CUST01425,Low
CUST01426,Low
CUST01427,Medium
CUST01428,Low
CUST01429,Low
CUST01430,Low
CUST01431,Low
CUST01432,Low
CUST01433,Medium
CUST01434,Medium
CUST01435,Low
CUST01436,Low
CUST01437,Medium
CUST01438,Low
CUST01439,Low
CUST01440,Low
CUST01441,Low
CUST01442,Low
CUST01443,Medium
CUST01444,High
CUST01445,Low
CUST01446,Low
CUST01447,Low
CUST01448,Low
CUST01449,Low
CUST01450,Low
CUST01451,Low
CUST01452,Low
CUST01453,Low
CUST01454,Low
CUST01455,Low
CUST01456,Medium
CUST01457,Low
CUST01458,Low
CUST01459,Low
CUST01460,Low
CUST01461,Low
CUST01462,Low
CUST01463,Low
CUST01464,Low
CUST01465,Low
CUST01466,Low
CUST01467,Low
CUST01468,Low
CUST01469,Low
CUST01470,Low
CUST01471,Low
CUST01472,Low
CUST01473,Low
CUST01474,High
CUST01475,Low
CUST01476,Low
CUST01477,Low
CUST01478,Low
CUST01479,Low
CUST01480,Low
CUST01481,Low
CUST01482,Low
CUST01483,Low
CUST01484,Low
CUST01485,Low
CUST01486,Low
CUST01487,Low
CUST01488,Low
CUST01489,Medium
CUST01490,Low
CUST01491,Low
CUST01492,Medium
CUST01493,Low
CUST01494,Low
CUST01495,Low
CUST01496,Low
CUST01497,Low
CUST01498,Low
CUST01499,Low
CUST01500,Low
CUST01501,Low
CUST01502,Low
CUST01503,Low
CUST01504,Low
CUST01505,Low
CUST01506,Medium
CUST01507,Low
CUST01508,Low
CUST01509,Low
CUST01510,Medium
CUST01511,Low
CUST01512,Low
CUST01513,Low
CUST01514,Low
CUST01515,Low
CUST01516,Low
CUST01517,Low
CUST01518,Low
CUST01519,Low
CUST01520,Low
CUST01521,Low
CUST01522,Low
CUST01523,Low
CUST01524,Low
CUST01525,Low
CUST01526,Low
CUST01527,Low
CUST01528,High
CUST01529,Low
CUST01530,Low
CUST01531,Low
CUST01532,Low
CUST01533,Low
CUST01534,Low
CUST01535,Low
CUST01536,Low
CUST01537,Low
CUST01538,Low
CUST01539,Low
CUST01540,Low
CUST01541,Low
CUST01542,Medium
CUST01543,Low
CUST01544,Low
CUST01545,Low
