Customer_ID,Total_Orders,Total_Refunds,Total_Refund_Amount,Refund_Rate,Reason_Repetition_Rate,Avg_Reason_Length,Days_Span,Refunds_Per_Day,Fraud_Risk_Score
CUST06907,5,4,990.6099999999999,80.0,25.0,13.5,41,0.0952,33.59
CUST01569,6,2,353.48,33.33,100.0,12.0,41,0.0476,32.97
CUST07438,6,2,283.76,33.33,100.0,12.0,47,0.0417,32.91
CUST00839,6,2,598.4200000000001,33.33,100.0,10.0,6,0.2857,32.53
CUST05492,7,4,1094.21,57.14,50.0,14.5,41,0.0952,31.31
CUST02037,7,3,896.51,42.86,66.67,15.33,19,0.15,31.15
CUST08753,6,3,1735.66,50.0,66.67,12.33,24,0.12,30.84
CUST05885,6,3,947.63,50.0,66.67,12.33,29,0.1,30.64
CUST08127,6,3,1073.51,50.0,66.67,12.33,34,0.0857,30.49
CUST06266,7,4,2185.3500000000004,57.14,50.0,13.5,28,0.1379,30.31
CUST08832,5,2,517.02,40.0,50.0,14.5,1,1.0,30.24
CUST06576,6,2,1080.6,33.33,100.0,10.0,35,0.0556,30.19
CUST05176,7,4,1998.6799999999998,57.14,50.0,13.5,37,0.1053,29.98
CUST09873,7,4,1248.9099999999999,57.14,50.0,13.5,37,0.1053,29.98
CUST01383,7,4,2213.95,57.14,50.0,13.5,41,0.0952,29.88
CUST08010,7,4,2082.06,57.14,50.0,13.5,51,0.0769,29.69
CUST01710,7,4,1621.99,57.14,50.0,13.5,51,0.0769,29.69
CUST08057,8,4,1114.66,50.0,50.0,13.75,9,0.4,29.06
CUST04314,7,4,735.05,57.14,50.0,12.5,31,0.125,28.75
CUST04568,6,2,524.03,33.33,50.0,15.0,1,1.0,26.95
CUST05022,7,4,1191.8,57.14,50.0,11.5,49,0.08,26.87
CUST00330,8,4,1813.43,50.0,50.0,13.5,24,0.16,26.25
CUST03171,6,2,452.21000000000004,33.33,50.0,14.5,1,1.0,26.24
CUST09180,8,3,814.11,37.5,66.67,14.33,24,0.12,26.2
CUST09645,7,3,809.28,42.86,66.67,12.0,28,0.1034,25.92
CUST09574,5,3,665.26,60.0,33.33,14.0,25,0.1154,25.85
CUST04311,8,3,429.01,37.5,66.67,12.67,9,0.3,25.66
CUST06838,7,3,766.15,42.86,66.67,12.0,48,0.0612,25.49
CUST01077,8,4,1036.76,50.0,50.0,11.5,10,0.3636,25.47
CUST02791,5,3,472.96000000000004,60.0,33.33,13.33,21,0.1364,25.1
CUST08768,8,3,1161.97,37.5,66.67,12.33,10,0.2727,24.9
CUST05167,5,3,509.19,60.0,33.33,13.0,32,0.0909,24.17
CUST01300,5,2,375.66,40.0,50.0,15.0,5,0.3333,24.16
CUST06861,5,2,620.45,40.0,50.0,14.5,4,0.4,24.13
CUST00467,5,3,766.4,60.0,33.33,13.0,37,0.0789,24.05
CUST01094,8,3,304.28,37.5,66.67,12.67,29,0.1,23.63
CUST08022,8,3,895.72,37.5,66.67,12.67,30,0.0968,23.59
CUST04362,5,3,490.45000000000005,60.0,33.33,12.33,25,0.1154,23.46
CUST01334,5,2,247.39999999999998,40.0,50.0,14.5,6,0.2857,22.96
CUST02143,5,2,489.9,40.0,50.0,14.5,6,0.2857,22.96
CUST09305,10,5,1251.46,50.0,40.0,14.0,34,0.1429,22.79
CUST03637,5,2,255.72,40.0,50.0,13.5,4,0.4,22.7
CUST00340,5,2,650.36,40.0,50.0,15.0,12,0.1538,22.33
CUST06463,5,2,709.46,40.0,50.0,14.5,8,0.2222,22.32
CUST03396,5,2,356.87,40.0,50.0,14.5,9,0.2,22.09
CUST02604,5,2,611.6800000000001,40.0,50.0,14.5,9,0.2,22.09
CUST09003,5,3,932.64,60.0,33.33,11.67,49,0.06,21.95
CUST03652,6,2,385.64000000000004,33.33,50.0,15.0,3,0.5,21.86
CUST04898,5,2,228.57999999999998,40.0,50.0,14.5,11,0.1667,21.75
CUST09175,5,2,371.17,40.0,50.0,14.5,12,0.1538,21.62
CUST00144,6,3,666.4499999999999,50.0,33.33,13.0,6,0.4286,21.61
CUST06279,9,3,793.74,33.33,66.67,11.33,8,0.3333,21.59
CUST02213,5,2,451.87,40.0,50.0,15.0,25,0.0769,21.55
CUST00878,9,3,1592.54,33.33,66.67,12.33,15,0.1875,21.53
CUST04390,5,2,482.98,40.0,50.0,14.5,14,0.1333,21.41
CUST04374,5,2,694.15,40.0,50.0,14.5,15,0.125,21.33
CUST09100,8,3,665.0699999999999,37.5,66.67,11.33,47,0.0625,21.33
CUST01859,8,3,599.05,37.5,66.67,11.33,50,0.0588,21.29
CUST00729,5,2,692.55,40.0,50.0,12.5,4,0.4,21.27
CUST03131,5,2,270.35,40.0,50.0,13.5,8,0.2222,20.89
CUST02306,5,2,371.42,40.0,50.0,11.5,3,0.5,20.86
CUST09954,5,2,300.8,40.0,50.0,14.5,33,0.0588,20.65
CUST05400,5,2,537.99,40.0,50.0,14.5,51,0.0385,20.45
CUST02028,5,2,1144.01,40.0,50.0,13.5,11,0.1667,20.32
CUST03007,9,3,759.54,33.33,66.67,12.33,49,0.06,20.23
CUST04298,6,2,457.5,33.33,50.0,15.0,5,0.3333,20.16
CUST02851,6,3,366.58000000000004,50.0,33.33,14.0,21,0.1364,20.06
CUST04967,5,2,421.4,40.0,50.0,13.5,15,0.125,19.9
CUST02535,7,4,818.5999999999999,57.14,25.0,13.0,23,0.1667,19.89
CUST09157,5,2,498.4,40.0,50.0,11.5,4,0.4,19.84
CUST01546,10,4,2217.92,40.0,50.0,13.5,46,0.0851,19.49
CUST06994,5,2,555.28,40.0,50.0,13.5,25,0.0769,19.41
CUST07680,6,2,221.63,33.33,50.0,14.5,6,0.2857,18.96
CUST00070,6,2,300.90999999999997,33.33,50.0,14.5,7,0.25,18.6
CUST08234,5,2,361.03999999999996,40.0,50.0,12.5,14,0.1333,18.55
CUST04233,5,2,375.77,40.0,50.0,12.5,15,0.125,18.47
CUST08877,5,2,343.6,40.0,50.0,12.5,16,0.1176,18.39
CUST03119,5,2,554.0,40.0,50.0,12.5,16,0.1176,18.39
CUST06655,6,2,502.86,33.33,50.0,15.0,12,0.1538,18.33
CUST04961,5,2,465.03999999999996,40.0,50.0,12.5,26,0.0741,17.95
CUST06647,6,3,473.27,50.0,33.33,11.67,11,0.25,17.89
CUST07988,6,2,688.85,33.33,50.0,14.5,11,0.1667,17.75
CUST05578,6,2,304.53,33.33,50.0,13.5,6,0.2857,17.53
CUST01781,6,2,338.75,33.33,50.0,15.0,32,0.0606,17.38
CUST03039,5,2,505.14,40.0,50.0,12.0,22,0.087,17.37
CUST03191,6,2,410.43,33.33,50.0,14.5,16,0.1176,17.25
CUST00860,5,2,173.42000000000002,40.0,50.0,12.0,29,0.0667,17.16
CUST08105,6,2,421.83000000000004,33.33,50.0,14.5,28,0.069,16.75
CUST06872,5,2,528.35,40.0,50.0,11.5,24,0.08,16.58
CUST08023,5,2,377.3,40.0,50.0,11.0,13,0.1429,16.51
CUST03361,5,2,345.03,40.0,50.0,11.5,30,0.0645,16.42
CUST00026,5,2,485.63,40.0,50.0,11.0,15,0.125,16.33
CUST09586,6,3,461.93,50.0,33.33,11.67,32,0.0909,16.27
CUST07314,6,2,419.09,33.33,50.0,11.0,3,0.5,16.15
CUST03080,6,2,385.43,33.33,50.0,12.5,6,0.2857,16.11
CUST00845,5,2,419.5,40.0,50.0,11.0,19,0.1,16.07
CUST04251,6,3,687.83,50.0,33.33,11.67,47,0.0625,15.98
CUST04358,5,2,477.88,40.0,50.0,11.0,24,0.08,15.87
CUST03964,5,2,285.08,40.0,50.0,11.0,28,0.069,15.76
CUST03046,6,3,868.14,50.0,33.33,11.33,41,0.0714,15.58
CUST03778,6,3,515.77,50.0,33.33,11.33,49,0.06,15.47
CUST00996,6,2,355.36,33.33,50.0,13.5,24,0.08,15.44
CUST03797,6,2,392.78,33.33,50.0,12.0,7,0.25,15.03
CUST09750,6,2,305.72,33.33,50.0,12.5,12,0.1538,14.76
CUST09616,6,2,353.69,33.33,50.0,12.5,12,0.1538,14.76
CUST06437,8,4,895.48,50.0,25.0,12.75,36,0.1081,14.65
CUST08072,6,2,481.01,33.33,50.0,12.5,13,0.1429,14.65
CUST06765,6,2,492.23,33.33,50.0,12.5,15,0.125,14.47
CUST03994,6,2,376.65999999999997,33.33,50.0,11.0,5,0.3333,14.45
CUST01265,6,2,401.59,33.33,50.0,12.5,18,0.1053,14.27
CUST04579,6,2,344.67999999999995,33.33,50.0,12.0,11,0.1667,14.18
CUST08032,6,2,499.44,33.33,50.0,12.0,11,0.1667,14.18
CUST08213,6,2,130.43,33.33,50.0,12.5,23,0.0833,14.04
CUST04215,6,2,183.8,33.33,50.0,12.5,35,0.0556,13.76
CUST06234,6,2,316.55,33.33,50.0,12.0,15,0.125,13.75
CUST02388,6,2,254.38,33.33,50.0,12.0,20,0.0952,13.45
CUST09526,6,2,446.71000000000004,33.33,50.0,12.0,20,0.0952,13.45
CUST01003,8,4,1053.84,50.0,25.0,11.75,34,0.1143,13.29
CUST01456,6,2,608.56,33.33,50.0,12.0,35,0.0556,13.05
CUST04068,9,3,327.75,33.33,33.33,14.0,7,0.375,12.49
CUST07385,6,2,288.11,33.33,50.0,11.5,28,0.069,12.47
CUST03013,6,2,532.19,33.33,50.0,11.0,14,0.1333,12.41
CUST08499,8,3,726.24,37.5,33.33,14.0,25,0.1154,12.35
CUST06996,6,2,271.76,33.33,50.0,11.5,38,0.0513,12.29
CUST02561,8,3,590.04,37.5,33.33,14.0,28,0.1034,12.22
CUST03097,8,3,586.95,37.5,33.33,13.67,21,0.1364,12.09
CUST04882,6,2,454.93,33.33,50.0,11.0,26,0.0741,11.81
CUST00615,6,2,338.84,33.33,50.0,11.0,41,0.0476,11.54
CUST09774,6,2,463.18999999999994,33.33,50.0,11.0,44,0.0444,11.5
CUST03575,8,3,976.74,37.5,33.33,13.0,23,0.125,11.02
CUST07040,9,3,706.1,33.33,33.33,11.67,6,0.4286,9.71
CUST05256,9,3,723.89,33.33,33.33,14.0,35,0.0833,9.52
CUST09553,9,3,642.52,33.33,33.33,13.33,18,0.1579,9.32
CUST08263,9,3,820.13,33.33,33.33,13.33,20,0.1429,9.17
CUST03186,10,4,836.65,40.0,25.0,12.75,25,0.1538,9.12
CUST00985,9,3,406.19,33.33,33.33,11.67,26,0.1111,6.47
CUST07905,9,3,1023.08,33.33,33.33,11.67,28,0.1034,6.39
